CapTime,av,fr,to
27/01/2022-19:42,8,8,16,
27/01/2022-19:47,9,7,16,
27/01/2022-19:52,9,7,16,
27/01/2022-19:57,9,7,16,
27/01/2022-20:02,9,7,16,
27/01/2022-20:07,10,6,16,
27/01/2022-20:12,10,6,16,
27/01/2022-20:17,10,6,16,
27/01/2022-20:22,10,6,16,
27/01/2022-20:27,10,6,16,
27/01/2022-20:32,10,6,16,
27/01/2022-20:37,10,6,16,
27/01/2022-20:42,10,6,16,
27/01/2022-20:47,10,6,16,
27/01/2022-20:52,10,6,16,
27/01/2022-20:57,10,6,16,
27/01/2022-21:02,10,6,16,
27/01/2022-21:07,10,6,16,
27/01/2022-21:12,10,6,16,
27/01/2022-21:17,10,6,16,
27/01/2022-21:22,9,7,16,
27/01/2022-21:27,9,7,16,
27/01/2022-21:32,9,7,16,
27/01/2022-21:37,9,7,16,
27/01/2022-21:42,9,7,16,
27/01/2022-21:47,9,7,16,
27/01/2022-21:52,9,7,16,
27/01/2022-21:57,9,7,16,
27/01/2022-22:02,9,7,16,
27/01/2022-22:07,9,7,16,
27/01/2022-22:12,9,7,16,
27/01/2022-22:17,9,7,16,
27/01/2022-22:22,9,7,16,
27/01/2022-22:27,9,7,16,
27/01/2022-22:32,9,7,16,
27/01/2022-22:37,9,7,16,
27/01/2022-22:42,9,7,16,
27/01/2022-22:47,9,7,16,
27/01/2022-22:52,9,7,16,
27/01/2022-22:57,9,7,16,
27/01/2022-23:02,9,7,16,
27/01/2022-23:07,9,7,16,
27/01/2022-23:12,9,7,16,
27/01/2022-23:17,9,7,16,
27/01/2022-23:22,9,7,16,
27/01/2022-23:27,9,7,16,
27/01/2022-23:32,9,7,16,
27/01/2022-23:37,9,7,16,
27/01/2022-23:42,9,7,16,
27/01/2022-23:47,9,7,16,
27/01/2022-23:52,9,7,16,
27/01/2022-23:57,9,7,16,
28/01/2022-00:02,9,7,16,
28/01/2022-00:07,9,7,16,
28/01/2022-00:12,9,7,16,
28/01/2022-00:17,9,7,16,
28/01/2022-00:22,9,7,16,
28/01/2022-00:27,9,7,16,
28/01/2022-00:32,9,7,16,
28/01/2022-00:37,9,7,16,
28/01/2022-00:42,9,7,16,
28/01/2022-00:47,9,7,16,
28/01/2022-00:52,9,7,16,
28/01/2022-00:57,9,7,16,
28/01/2022-01:02,9,7,16,
28/01/2022-01:07,10,6,16,
28/01/2022-01:12,10,6,16,
28/01/2022-01:17,12,4,16,
28/01/2022-01:22,12,4,16,
28/01/2022-01:27,12,4,16,
28/01/2022-01:32,12,4,16,
28/01/2022-01:37,12,4,16,
28/01/2022-01:42,14,2,16,
28/01/2022-01:47,14,2,16,
28/01/2022-01:52,14,2,16,
28/01/2022-01:57,14,2,16,
28/01/2022-02:02,14,2,16,
28/01/2022-02:07,14,2,16,
28/01/2022-02:12,14,2,16,
28/01/2022-02:17,14,2,16,
28/01/2022-02:22,14,2,16,
28/01/2022-02:27,14,2,16,
28/01/2022-02:32,14,2,16,
28/01/2022-02:37,14,2,16,
28/01/2022-02:42,14,2,16,
28/01/2022-02:47,14,2,16,
28/01/2022-02:52,14,2,16,
28/01/2022-02:57,14,2,16,
28/01/2022-03:02,14,2,16,
28/01/2022-03:07,14,2,16,
28/01/2022-03:12,14,2,16,
28/01/2022-03:17,14,2,16,
28/01/2022-03:22,14,2,16,
28/01/2022-03:27,14,2,16,
28/01/2022-03:32,14,2,16,
28/01/2022-03:37,14,2,16,
28/01/2022-03:42,14,2,16,
28/01/2022-03:47,14,2,16,
28/01/2022-03:52,14,2,16,
28/01/2022-03:57,14,2,16,
28/01/2022-04:02,14,2,16,
28/01/2022-04:07,14,2,16,
28/01/2022-04:12,14,2,16,
28/01/2022-04:17,14,2,16,
28/01/2022-04:22,14,2,16,
28/01/2022-04:27,14,2,16,
28/01/2022-04:32,14,2,16,
28/01/2022-04:37,14,2,16,
28/01/2022-04:42,14,2,16,
28/01/2022-04:47,13,3,16,
28/01/2022-04:52,13,3,16,
28/01/2022-04:57,13,3,16,
28/01/2022-05:02,13,3,16,
28/01/2022-05:07,13,3,16,
28/01/2022-05:12,13,3,16,
28/01/2022-05:17,13,3,16,
28/01/2022-05:22,13,3,16,
28/01/2022-05:27,13,3,16,
28/01/2022-05:32,13,3,16,
28/01/2022-05:37,13,3,16,
28/01/2022-05:42,13,3,16,
28/01/2022-05:47,13,3,16,
28/01/2022-05:52,13,3,16,
28/01/2022-05:57,13,3,16,
28/01/2022-06:02,13,3,16,
28/01/2022-06:07,13,3,16,
28/01/2022-06:12,13,3,16,
28/01/2022-06:17,13,3,16,
28/01/2022-06:22,13,3,16,
28/01/2022-06:27,13,3,16,
28/01/2022-06:32,13,3,16,
28/01/2022-06:37,13,3,16,
28/01/2022-06:42,13,3,16,
28/01/2022-06:47,13,3,16,
28/01/2022-06:52,13,3,16,
28/01/2022-06:57,13,3,16,
28/01/2022-07:02,13,3,16,
28/01/2022-07:07,13,3,16,
28/01/2022-07:12,13,3,16,
28/01/2022-07:17,12,4,16,
28/01/2022-07:22,3,13,16,
28/01/2022-07:27,3,13,16,
28/01/2022-07:32,3,13,16,
28/01/2022-07:37,3,13,16,
28/01/2022-07:42,3,13,16,
28/01/2022-07:47,3,13,16,
28/01/2022-07:52,3,13,16,
28/01/2022-07:57,3,13,16,
28/01/2022-08:02,3,13,16,
28/01/2022-08:07,3,13,16,
28/01/2022-08:12,3,13,16,
28/01/2022-08:17,3,13,16,
28/01/2022-08:22,3,13,16,
28/01/2022-08:27,3,13,16,
28/01/2022-08:32,3,13,16,
28/01/2022-08:37,3,13,16,
28/01/2022-08:42,3,13,16,
28/01/2022-08:47,3,13,16,
28/01/2022-08:52,3,13,16,
28/01/2022-08:57,3,13,16,
28/01/2022-09:02,3,13,16,
28/01/2022-09:07,3,13,16,
28/01/2022-09:12,3,13,16,
28/01/2022-09:17,3,13,16,
28/01/2022-09:22,3,13,16,
28/01/2022-09:27,3,13,16,
28/01/2022-09:32,3,13,16,
28/01/2022-09:37,3,13,16,
28/01/2022-09:42,3,13,16,
28/01/2022-09:47,3,13,16,
28/01/2022-09:52,3,13,16,
28/01/2022-09:57,3,13,16,
28/01/2022-10:02,3,13,16,
28/01/2022-10:07,3,13,16,
28/01/2022-10:12,3,13,16,
28/01/2022-10:17,3,13,16,
28/01/2022-10:22,3,13,16,
28/01/2022-10:27,3,13,16,
28/01/2022-10:32,3,13,16,
28/01/2022-10:37,3,13,16,
28/01/2022-10:42,3,13,16,
28/01/2022-10:47,3,13,16,
28/01/2022-10:52,3,13,16,
28/01/2022-10:57,3,13,16,
28/01/2022-11:02,3,13,16,
28/01/2022-11:07,2,14,16,
28/01/2022-11:12,0,16,16,
28/01/2022-11:17,0,16,16,
28/01/2022-11:22,0,16,16,
28/01/2022-11:27,0,16,16,
28/01/2022-11:32,0,16,16,
28/01/2022-11:37,0,16,16,
28/01/2022-11:42,1,15,16,
28/01/2022-11:47,1,15,16,
28/01/2022-11:52,1,15,16,
28/01/2022-11:57,1,15,16,
28/01/2022-12:02,1,15,16,
28/01/2022-12:07,1,15,16,
28/01/2022-12:12,1,15,16,
28/01/2022-12:17,1,15,16,
28/01/2022-12:22,1,15,16,
28/01/2022-12:27,1,15,16,
28/01/2022-12:32,1,15,16,
28/01/2022-12:37,1,15,16,
28/01/2022-12:42,1,15,16,
28/01/2022-12:47,1,15,16,
28/01/2022-12:52,1,15,16,
28/01/2022-12:57,1,15,16,
28/01/2022-13:02,1,15,16,
28/01/2022-13:07,1,15,16,
28/01/2022-13:12,1,15,16,
28/01/2022-13:17,0,16,16,
28/01/2022-13:22,0,16,16,
28/01/2022-13:27,0,16,16,
28/01/2022-13:32,0,16,16,
28/01/2022-13:37,0,16,16,
28/01/2022-13:42,0,16,16,
28/01/2022-13:47,0,16,16,
28/01/2022-13:52,0,16,16,
28/01/2022-13:57,0,16,16,
28/01/2022-14:02,0,16,16,
28/01/2022-14:07,0,16,16,
28/01/2022-14:12,0,16,16,
28/01/2022-14:17,0,16,16,
28/01/2022-14:22,0,16,16,
28/01/2022-14:27,0,16,16,
28/01/2022-14:32,1,15,16,
28/01/2022-14:37,1,15,16,
28/01/2022-14:42,1,15,16,
28/01/2022-14:47,1,15,16,
28/01/2022-14:52,1,15,16,
28/01/2022-14:57,1,15,16,
28/01/2022-15:02,1,15,16,
28/01/2022-15:07,0,16,16,
28/01/2022-15:12,0,16,16,
28/01/2022-15:17,0,16,16,
28/01/2022-15:22,0,16,16,
28/01/2022-15:27,0,16,16,
28/01/2022-15:32,0,16,16,
28/01/2022-15:37,0,16,16,
28/01/2022-15:42,0,16,16,
28/01/2022-15:47,0,16,16,
28/01/2022-15:52,0,16,16,
28/01/2022-15:57,0,16,16,
28/01/2022-16:02,0,16,16,
28/01/2022-16:07,0,16,16,
28/01/2022-16:12,0,16,16,
28/01/2022-16:17,0,16,16,
28/01/2022-16:22,3,13,16,
28/01/2022-16:27,3,13,16,
28/01/2022-16:32,3,13,16,
28/01/2022-16:37,3,13,16,
28/01/2022-16:42,3,13,16,
28/01/2022-16:47,3,13,16,
28/01/2022-16:52,3,13,16,
28/01/2022-16:57,3,13,16,
28/01/2022-17:02,2,14,16,
28/01/2022-17:07,2,14,16,
28/01/2022-17:12,3,13,16,
28/01/2022-17:17,3,13,16,
28/01/2022-17:22,3,13,16,
28/01/2022-17:27,3,13,16,
28/01/2022-17:32,3,13,16,
28/01/2022-17:37,5,11,16,
28/01/2022-17:42,5,11,16,
28/01/2022-17:47,5,11,16,
28/01/2022-17:52,5,11,16,
28/01/2022-17:57,6,10,16,
28/01/2022-18:02,8,8,16,
28/01/2022-18:07,7,9,16,
28/01/2022-18:12,7,9,16,
28/01/2022-18:17,7,9,16,
28/01/2022-18:22,7,9,16,
28/01/2022-18:27,10,6,16,
28/01/2022-18:32,10,6,16,
28/01/2022-18:37,10,6,16,
28/01/2022-18:42,11,5,16,
28/01/2022-18:47,11,5,16,
28/01/2022-18:52,11,5,16,
28/01/2022-18:57,11,5,16,
28/01/2022-19:02,11,5,16,
28/01/2022-19:07,11,5,16,
28/01/2022-19:12,11,5,16,
28/01/2022-19:17,11,5,16,
28/01/2022-19:23,11,5,16,
28/01/2022-19:28,11,5,16,
28/01/2022-19:33,11,5,16,
28/01/2022-19:38,11,5,16,
