CapTime;av;fr;to
27/01/2022-19:42;37;31;68;
27/01/2022-19:47;37;31;68;
27/01/2022-19:52;37;31;68;
27/01/2022-19:57;37;31;68;
27/01/2022-20:02;37;31;68;
27/01/2022-20:07;37;31;68;
27/01/2022-20:12;37;31;68;
27/01/2022-20:17;37;31;68;
27/01/2022-20:22;37;31;68;
27/01/2022-20:27;37;31;68;
27/01/2022-20:32;37;31;68;
27/01/2022-20:37;37;31;68;
27/01/2022-20:42;37;31;68;
27/01/2022-20:47;37;31;68;
27/01/2022-20:52;37;31;68;
27/01/2022-20:57;37;31;68;
27/01/2022-21:02;37;31;68;
27/01/2022-21:07;37;31;68;
27/01/2022-21:12;37;31;68;
27/01/2022-21:17;37;31;68;
27/01/2022-21:22;37;31;68;
27/01/2022-21:27;37;31;68;
27/01/2022-21:32;37;31;68;
27/01/2022-21:37;37;31;68;
27/01/2022-21:42;37;31;68;
27/01/2022-21:47;37;31;68;
27/01/2022-21:52;37;31;68;
27/01/2022-21:57;37;31;68;
27/01/2022-22:02;37;31;68;
27/01/2022-22:07;37;31;68;
27/01/2022-22:12;37;31;68;
27/01/2022-22:17;37;31;68;
27/01/2022-22:22;37;31;68;
27/01/2022-22:27;37;31;68;
27/01/2022-22:32;37;31;68;
27/01/2022-22:37;37;31;68;
27/01/2022-22:42;37;31;68;
27/01/2022-22:47;37;31;68;
27/01/2022-22:52;37;31;68;
27/01/2022-22:57;37;31;68;
27/01/2022-23:02;37;31;68;
27/01/2022-23:07;37;31;68;
27/01/2022-23:12;37;31;68;
27/01/2022-23:17;37;31;68;
27/01/2022-23:22;37;31;68;
27/01/2022-23:27;37;31;68;
27/01/2022-23:32;37;31;68;
27/01/2022-23:37;37;31;68;
27/01/2022-23:42;37;31;68;
27/01/2022-23:47;37;31;68;
27/01/2022-23:52;37;31;68;
27/01/2022-23:57;37;31;68;
28/01/2022-00:02;37;31;68;
28/01/2022-00:07;37;31;68;
28/01/2022-00:12;37;31;68;
28/01/2022-00:17;37;31;68;
28/01/2022-00:22;37;31;68;
28/01/2022-00:27;37;31;68;
28/01/2022-00:32;37;31;68;
28/01/2022-00:37;37;31;68;
28/01/2022-00:42;37;31;68;
28/01/2022-00:47;37;31;68;
28/01/2022-00:52;37;31;68;
28/01/2022-00:57;37;31;68;
28/01/2022-01:02;37;31;68;
28/01/2022-01:07;37;31;68;
28/01/2022-01:12;37;31;68;
