CapTime,Status,Free,Total
27/01/2022-19:42,Open,0249,0835,
27/01/2022-19:47,Open,0245,0835,
27/01/2022-19:52,Open,0239,0835,
27/01/2022-19:57,Open,0230,0835,
27/01/2022-20:02,Open,0223,0835,
27/01/2022-20:07,Open,0220,0835,
27/01/2022-20:12,Open,0217,0835,
27/01/2022-20:17,Open,0204,0835,
27/01/2022-20:22,Open,0205,0835,
27/01/2022-20:27,Open,0202,0835,
27/01/2022-20:32,Open,0197,0835,
27/01/2022-20:37,Open,0186,0835,
27/01/2022-20:42,Open,0182,0835,
27/01/2022-20:47,Open,0176,0835,
27/01/2022-20:52,Open,0158,0835,
27/01/2022-20:57,Open,0152,0835,
27/01/2022-21:02,Open,0152,0835,
27/01/2022-21:07,Open,0153,0835,
27/01/2022-21:12,Open,0152,0835,
27/01/2022-21:17,Open,0151,0835,
27/01/2022-21:22,Open,0158,0835,
27/01/2022-21:27,Open,0163,0835,
27/01/2022-21:32,Open,0168,0835,
27/01/2022-21:37,Open,0160,0835,
27/01/2022-21:42,Open,0161,0835,
27/01/2022-21:47,Open,0161,0835,
27/01/2022-21:52,Open,0164,0835,
27/01/2022-21:57,Open,0164,0835,
27/01/2022-22:02,Open,0164,0835,
27/01/2022-22:07,Open,0173,0835,
27/01/2022-22:12,Open,0181,0835,
27/01/2022-22:17,Open,0183,0835,
27/01/2022-22:22,Open,0192,0835,
27/01/2022-22:27,Open,0200,0835,
27/01/2022-22:32,Open,0207,0835,
27/01/2022-22:37,Open,0212,0835,
27/01/2022-22:42,Open,0218,0835,
27/01/2022-22:47,Open,0227,0835,
27/01/2022-22:52,Open,0235,0835,
27/01/2022-22:57,Open,0235,0835,
27/01/2022-23:02,Open,0260,0835,
27/01/2022-23:07,Open,0285,0835,
27/01/2022-23:12,Open,0288,0835,
27/01/2022-23:17,Open,0299,0835,
27/01/2022-23:22,Open,0305,0835,
27/01/2022-23:27,Open,0311,0835,
27/01/2022-23:32,Open,0320,0835,
27/01/2022-23:37,Open,0331,0835,
27/01/2022-23:42,Open,0350,0835,
27/01/2022-23:47,Open,0372,0835,
27/01/2022-23:52,Open,0372,0835,
27/01/2022-23:57,Open,0376,0835,
28/01/2022-00:02,Open,0384,0835,
28/01/2022-00:07,Open,0398,0835,
28/01/2022-00:12,Open,0400,0835,
28/01/2022-00:17,Open,0400,0835,
28/01/2022-00:22,Open,0404,0835,
28/01/2022-00:27,Open,0404,0835,
28/01/2022-00:32,Open,0418,0835,
28/01/2022-00:37,Open,0424,0835,
28/01/2022-00:42,Open,0428,0835,
28/01/2022-00:47,Open,0436,0835,
28/01/2022-00:52,Open,0442,0835,
28/01/2022-00:57,Open,0445,0835,
28/01/2022-01:02,Open,0450,0835,
28/01/2022-01:07,Open,0458,0835,
28/01/2022-01:12,Open,0460,0835,
28/01/2022-01:17,Open,0470,0835,
28/01/2022-01:22,Open,0482,0835,
28/01/2022-01:27,Open,0485,0835,
28/01/2022-01:32,Open,0494,0835,
28/01/2022-01:37,Open,0496,0835,
28/01/2022-01:42,Open,0497,0835,
28/01/2022-01:47,Open,0499,0835,
28/01/2022-01:52,Open,0502,0835,
28/01/2022-01:57,Open,0503,0835,
28/01/2022-02:02,Open,0504,0835,
28/01/2022-02:07,Open,0506,0835,
28/01/2022-02:12,Open,0507,0835,
28/01/2022-02:17,Open,0507,0835,
28/01/2022-02:22,Open,0509,0835,
28/01/2022-02:27,Open,0512,0835,
28/01/2022-02:32,Open,0512,0835,
28/01/2022-02:37,Open,0512,0835,
28/01/2022-02:42,Open,0512,0835,
28/01/2022-02:47,Open,0514,0835,
28/01/2022-02:52,Open,0514,0835,
28/01/2022-02:57,Open,0514,0835,
28/01/2022-03:02,Open,0514,0835,
28/01/2022-03:07,Open,0514,0835,
28/01/2022-03:12,Open,0514,0835,
28/01/2022-03:17,Open,0515,0835,
28/01/2022-03:22,Open,0515,0835,
28/01/2022-03:27,Open,0515,0835,
28/01/2022-03:32,Open,0515,0835,
28/01/2022-03:37,Open,0515,0835,
28/01/2022-03:42,Open,0515,0835,
28/01/2022-03:47,Open,0515,0835,
28/01/2022-03:52,Open,0515,0835,
28/01/2022-03:57,Open,0515,0835,
28/01/2022-04:02,Open,0515,0835,
28/01/2022-04:07,Open,0516,0835,
28/01/2022-04:12,Open,0517,0835,
28/01/2022-04:17,Open,0517,0835,
28/01/2022-04:22,Open,0517,0835,
28/01/2022-04:27,Open,0517,0835,
28/01/2022-04:32,Open,0517,0835,
28/01/2022-04:37,Open,0516,0835,
28/01/2022-04:42,Open,0517,0835,
28/01/2022-04:47,Open,0517,0835,
28/01/2022-04:52,Open,0518,0835,
28/01/2022-04:57,Open,0518,0835,
28/01/2022-05:02,Open,0518,0835,
28/01/2022-05:07,Open,0518,0835,
28/01/2022-05:12,Open,0518,0835,
28/01/2022-05:17,Open,0518,0835,
28/01/2022-05:22,Open,0518,0835,
28/01/2022-05:27,Open,0518,0835,
28/01/2022-05:32,Open,0517,0835,
28/01/2022-05:37,Open,0516,0835,
28/01/2022-05:42,Open,0516,0835,
28/01/2022-05:47,Open,0516,0835,
28/01/2022-05:52,Open,0515,0835,
28/01/2022-05:57,Open,0515,0835,
28/01/2022-06:02,Open,0515,0835,
28/01/2022-06:07,Open,0515,0835,
28/01/2022-06:12,Open,0515,0835,
28/01/2022-06:17,Open,0516,0835,
28/01/2022-06:22,Open,0515,0835,
28/01/2022-06:27,Open,0515,0835,
28/01/2022-06:32,Open,0515,0835,
28/01/2022-06:37,Open,0516,0835,
28/01/2022-06:42,Open,0516,0835,
28/01/2022-06:47,Open,0516,0835,
28/01/2022-06:52,Open,0517,0835,
28/01/2022-06:57,Open,0517,0835,
28/01/2022-07:02,Open,0516,0835,
28/01/2022-07:07,Open,0515,0835,
28/01/2022-07:12,Open,0515,0835,
28/01/2022-07:17,Open,0516,0835,
28/01/2022-07:22,Open,0518,0835,
28/01/2022-07:27,Open,0518,0835,
28/01/2022-07:32,Open,0520,0835,
28/01/2022-07:37,Open,0519,0835,
28/01/2022-07:42,Open,0519,0835,
28/01/2022-07:47,Open,0518,0835,
28/01/2022-07:52,Open,0519,0835,
28/01/2022-07:57,Open,0521,0835,
28/01/2022-08:02,Open,0514,0835,
28/01/2022-08:07,Open,0511,0835,
28/01/2022-08:12,Open,0511,0835,
28/01/2022-08:17,Open,0505,0835,
28/01/2022-08:22,Open,0502,0835,
28/01/2022-08:27,Open,0501,0835,
28/01/2022-08:32,Open,0492,0835,
28/01/2022-08:37,Open,0492,0835,
28/01/2022-08:42,Open,0485,0835,
28/01/2022-08:47,Open,0475,0835,
28/01/2022-08:52,Open,0474,0835,
28/01/2022-08:57,Open,0467,0835,
28/01/2022-09:02,Open,0465,0835,
28/01/2022-09:07,Open,0456,0835,
28/01/2022-09:12,Open,0451,0835,
28/01/2022-09:17,Open,0435,0835,
28/01/2022-09:22,Open,0433,0835,
28/01/2022-09:27,Open,0427,0835,
28/01/2022-09:32,Open,0417,0835,
28/01/2022-09:37,Open,0409,0835,
28/01/2022-09:42,Open,0404,0835,
28/01/2022-09:47,Open,0396,0835,
28/01/2022-09:52,Open,0392,0835,
28/01/2022-09:57,Open,0387,0835,
28/01/2022-10:02,Open,0379,0835,
28/01/2022-10:07,Open,0361,0835,
28/01/2022-10:12,Open,0355,0835,
28/01/2022-10:17,Open,0347,0835,
28/01/2022-10:22,Open,0339,0835,
28/01/2022-10:27,Open,0329,0835,
28/01/2022-10:32,Open,0321,0835,
28/01/2022-10:37,Open,0311,0835,
28/01/2022-10:42,Open,0296,0835,
28/01/2022-10:47,Open,0284,0835,
28/01/2022-10:52,Open,0285,0835,
28/01/2022-10:57,Open,0274,0835,
28/01/2022-11:02,Open,0265,0835,
28/01/2022-11:07,Open,0265,0835,
28/01/2022-11:12,Open,0264,0835,
28/01/2022-11:17,Open,0252,0835,
28/01/2022-11:22,Open,0247,0835,
28/01/2022-11:27,Open,0245,0835,
28/01/2022-11:32,Open,0247,0835,
28/01/2022-11:37,Open,0245,0835,
28/01/2022-11:42,Open,0247,0835,
28/01/2022-11:47,Open,0246,0835,
28/01/2022-11:52,Open,0233,0835,
28/01/2022-11:57,Open,0237,0835,
28/01/2022-12:02,Open,0224,0835,
28/01/2022-12:07,Open,0222,0835,
28/01/2022-12:12,Open,0221,0835,
28/01/2022-12:17,Open,0209,0835,
28/01/2022-12:22,Open,0196,0835,
28/01/2022-12:27,Open,0193,0835,
28/01/2022-12:32,Open,0202,0835,
28/01/2022-12:37,Open,0200,0835,
28/01/2022-12:42,Open,0203,0835,
28/01/2022-12:47,Open,0192,0835,
28/01/2022-12:52,Open,0184,0835,
28/01/2022-12:57,Open,0177,0835,
28/01/2022-13:02,Open,0172,0835,
28/01/2022-13:07,Open,0163,0835,
28/01/2022-13:12,Open,0158,0835,
28/01/2022-13:17,Open,0151,0835,
28/01/2022-13:22,Open,0143,0835,
28/01/2022-13:27,Open,0139,0835,
28/01/2022-13:32,Open,0145,0835,
28/01/2022-13:37,Open,0144,0835,
28/01/2022-13:42,Open,0148,0835,
28/01/2022-13:47,Open,0147,0835,
28/01/2022-13:52,Open,0150,0835,
28/01/2022-13:57,Open,0151,0835,
28/01/2022-14:02,Open,0153,0835,
28/01/2022-14:07,Open,0150,0835,
28/01/2022-14:12,Open,0152,0835,
28/01/2022-14:17,Open,0153,0835,
28/01/2022-14:22,Open,0150,0835,
28/01/2022-14:27,Open,0152,0835,
28/01/2022-14:32,Open,0159,0835,
28/01/2022-14:37,Open,0157,0835,
28/01/2022-14:42,Open,0158,0835,
28/01/2022-14:47,Open,0161,0835,
28/01/2022-14:52,Open,0162,0835,
28/01/2022-14:57,Open,0159,0835,
28/01/2022-15:02,Open,0171,0835,
28/01/2022-15:07,Open,0184,0835,
28/01/2022-15:12,Open,0186,0835,
28/01/2022-15:17,Open,0179,0835,
28/01/2022-15:22,Open,0171,0835,
28/01/2022-15:27,Open,0169,0835,
28/01/2022-15:32,Open,0168,0835,
28/01/2022-15:37,Open,0168,0835,
28/01/2022-15:42,Open,0172,0835,
28/01/2022-15:47,Open,0171,0835,
28/01/2022-15:52,Open,0178,0835,
28/01/2022-15:57,Open,0178,0835,
28/01/2022-16:02,Open,0185,0835,
28/01/2022-16:07,Open,0195,0835,
28/01/2022-16:12,Open,0197,0835,
28/01/2022-16:17,Open,0194,0835,
28/01/2022-16:22,Open,0193,0835,
28/01/2022-16:27,Open,0186,0835,
28/01/2022-16:32,Open,0187,0835,
28/01/2022-16:37,Open,0181,0835,
28/01/2022-16:42,Open,0184,0835,
28/01/2022-16:47,Open,0185,0835,
28/01/2022-16:52,Open,0189,0835,
28/01/2022-16:57,Open,0199,0835,
28/01/2022-17:02,Open,0208,0835,
28/01/2022-17:07,Open,0210,0835,
28/01/2022-17:12,Open,0215,0835,
28/01/2022-17:17,Open,0225,0835,
28/01/2022-17:22,Open,0233,0835,
28/01/2022-17:27,Open,0237,0835,
28/01/2022-17:32,Open,0238,0835,
28/01/2022-17:37,Open,0247,0835,
28/01/2022-17:42,Open,0251,0835,
28/01/2022-17:47,Open,0260,0835,
28/01/2022-17:52,Open,0268,0835,
28/01/2022-17:57,Open,0266,0835,
28/01/2022-18:02,Open,0265,0835,
28/01/2022-18:07,Open,0273,0835,
28/01/2022-18:12,Open,0275,0835,
28/01/2022-18:17,Open,0285,0835,
28/01/2022-18:22,Open,0284,0835,
28/01/2022-18:27,Open,0290,0835,
28/01/2022-18:32,Open,0299,0835,
28/01/2022-18:37,Open,0296,0835,
28/01/2022-18:42,Open,0288,0835,
28/01/2022-18:47,Open,0288,0835,
28/01/2022-18:52,Open,0281,0835,
28/01/2022-18:57,Open,0271,0835,
28/01/2022-19:02,Open,0276,0835,
28/01/2022-19:07,Open,0284,0835,
28/01/2022-19:12,Open,0283,0835,
28/01/2022-19:17,Open,0283,0835,
28/01/2022-19:23,Open,0274,0835,
28/01/2022-19:28,Open,0266,0835,
28/01/2022-19:33,Open,0249,0835,
28/01/2022-19:38,Open,0238,0835,
