CapTime;Status;Free;Total
27/01/2022-19:42;Open;0105;0540;
27/01/2022-19:47;Open;0102;0540;
27/01/2022-19:52;Open;0090;0540;
27/01/2022-19:57;Open;0079;0540;
27/01/2022-20:02;Open;0071;0540;
27/01/2022-20:07;Open;0061;0540;
27/01/2022-20:12;Open;0047;0540;
27/01/2022-20:17;Open;0039;0540;
27/01/2022-20:22;Full;0033;0540;
27/01/2022-20:27;Full;0034;0540;
27/01/2022-20:32;Open;0037;0540;
27/01/2022-20:37;Full;0033;0540;
27/01/2022-20:42;Full;0032;0540;
27/01/2022-20:47;Open;0033;0540;
27/01/2022-20:52;Full;0031;0540;
27/01/2022-20:57;Full;0031;0540;
27/01/2022-21:02;Open;0036;0540;
27/01/2022-21:07;Open;0039;0540;
27/01/2022-21:12;Open;0036;0540;
27/01/2022-21:17;Open;0041;0540;
27/01/2022-21:22;Open;0038;0540;
27/01/2022-21:27;Open;0041;0540;
27/01/2022-21:32;Open;0044;0540;
27/01/2022-21:37;Open;0045;0540;
27/01/2022-21:42;Open;0047;0540;
27/01/2022-21:47;Open;0047;0540;
27/01/2022-21:52;Open;0055;0540;
27/01/2022-21:57;Open;0059;0540;
27/01/2022-22:02;Open;0062;0540;
27/01/2022-22:07;Open;0061;0540;
27/01/2022-22:12;Open;0063;0540;
27/01/2022-22:17;Open;0069;0540;
27/01/2022-22:22;Open;0074;0540;
27/01/2022-22:27;Open;0080;0540;
27/01/2022-22:32;Open;0077;0540;
27/01/2022-22:37;Open;0082;0540;
27/01/2022-22:42;Open;0086;0540;
27/01/2022-22:47;Open;0087;0540;
27/01/2022-22:52;Open;0091;0540;
27/01/2022-22:57;Open;0098;0540;
27/01/2022-23:02;Open;0102;0540;
27/01/2022-23:07;Open;0104;0540;
27/01/2022-23:12;Open;0112;0540;
27/01/2022-23:17;Open;0120;0540;
27/01/2022-23:22;Open;0114;0540;
27/01/2022-23:27;Open;0121;0540;
27/01/2022-23:32;Open;0126;0540;
27/01/2022-23:37;Open;0134;0540;
27/01/2022-23:42;Open;0137;0540;
27/01/2022-23:47;Open;0138;0540;
27/01/2022-23:52;Open;0145;0540;
27/01/2022-23:57;Open;0153;0540;
28/01/2022-00:02;Open;0156;0540;
28/01/2022-00:07;Open;0162;0540;
28/01/2022-00:12;Open;0165;0540;
28/01/2022-00:17;Open;0167;0540;
28/01/2022-00:22;Open;0170;0540;
28/01/2022-00:27;Open;0174;0540;
28/01/2022-00:32;Open;0173;0540;
28/01/2022-00:37;Open;0180;0540;
28/01/2022-00:42;Open;0190;0540;
28/01/2022-00:47;Open;0191;0540;
28/01/2022-00:52;Open;0195;0540;
28/01/2022-00:57;Open;0196;0540;
28/01/2022-01:02;Open;0200;0540;
28/01/2022-01:07;Open;0204;0540;
28/01/2022-01:12;Open;0213;0540;
28/01/2022-01:17;Open;0220;0540;
28/01/2022-01:22;Open;0225;0540;
28/01/2022-01:27;Open;0230;0540;
28/01/2022-01:32;Open;0235;0540;
28/01/2022-01:37;Open;0238;0540;
28/01/2022-01:42;Open;0239;0540;
28/01/2022-01:47;Open;0243;0540;
28/01/2022-01:52;Open;0243;0540;
28/01/2022-01:57;Open;0245;0540;
28/01/2022-02:02;Open;0246;0540;
28/01/2022-02:07;Open;0246;0540;
28/01/2022-02:12;Open;0247;0540;
28/01/2022-02:17;Open;0247;0540;
28/01/2022-02:22;Open;0249;0540;
28/01/2022-02:27;Open;0250;0540;
28/01/2022-02:32;Open;0250;0540;
28/01/2022-02:37;Open;0248;0540;
28/01/2022-02:42;Open;0252;0540;
28/01/2022-02:47;Open;0252;0540;
28/01/2022-02:52;Open;0254;0540;
28/01/2022-02:57;Open;0254;0540;
28/01/2022-03:02;Open;0254;0540;
28/01/2022-03:07;Open;0254;0540;
28/01/2022-03:12;Open;0254;0540;
28/01/2022-03:17;Open;0254;0540;
28/01/2022-03:22;Open;0254;0540;
28/01/2022-03:27;Open;0254;0540;
28/01/2022-03:32;Open;0254;0540;
28/01/2022-03:37;Open;0254;0540;
28/01/2022-03:42;Open;0254;0540;
28/01/2022-03:47;Open;0255;0540;
28/01/2022-03:52;Open;0256;0540;
28/01/2022-03:57;Open;0255;0540;
28/01/2022-04:02;Open;0256;0540;
28/01/2022-04:07;Open;0256;0540;
28/01/2022-04:12;Open;0257;0540;
28/01/2022-04:17;Open;0257;0540;
28/01/2022-04:22;Open;0257;0540;
28/01/2022-04:27;Open;0257;0540;
28/01/2022-04:32;Open;0257;0540;
28/01/2022-04:37;Open;0257;0540;
28/01/2022-04:42;Open;0257;0540;
28/01/2022-04:47;Open;0257;0540;
28/01/2022-04:52;Open;0257;0540;
28/01/2022-04:57;Open;0256;0540;
28/01/2022-05:02;Open;0256;0540;
28/01/2022-05:07;Open;0257;0540;
28/01/2022-05:12;Open;0257;0540;
28/01/2022-05:17;Open;0257;0540;
28/01/2022-05:22;Open;0257;0540;
28/01/2022-05:27;Open;0257;0540;
28/01/2022-05:32;Open;0257;0540;
28/01/2022-05:37;Open;0257;0540;
28/01/2022-05:42;Open;0258;0540;
28/01/2022-05:47;Open;0258;0540;
28/01/2022-05:52;Open;0257;0540;
28/01/2022-05:57;Open;0257;0540;
28/01/2022-06:02;Open;0256;0540;
28/01/2022-06:07;Open;0257;0540;
28/01/2022-06:12;Open;0257;0540;
