CapTime,Status,Free,Total
27/01/2022-19:42,Open,346,588,
27/01/2022-19:47,Open,347,588,
27/01/2022-19:52,Open,348,588,
27/01/2022-19:57,Open,346,588,
27/01/2022-20:02,Open,346,588,
27/01/2022-20:07,Open,344,588,
27/01/2022-20:12,Open,341,588,
27/01/2022-20:17,Open,345,588,
27/01/2022-20:22,Open,343,588,
27/01/2022-20:27,Open,343,588,
27/01/2022-20:32,Open,342,588,
27/01/2022-20:37,Open,339,588,
27/01/2022-20:42,Open,342,588,
27/01/2022-20:47,Open,343,588,
27/01/2022-20:52,Open,343,588,
27/01/2022-20:57,Open,340,588,
27/01/2022-21:02,Open,336,588,
27/01/2022-21:07,Open,337,588,
27/01/2022-21:12,Open,338,588,
27/01/2022-21:17,Open,336,588,
27/01/2022-21:22,Open,341,588,
27/01/2022-21:27,Open,342,588,
27/01/2022-21:32,Open,341,588,
27/01/2022-21:37,Open,339,588,
27/01/2022-21:42,Open,340,588,
27/01/2022-21:47,Open,343,588,
27/01/2022-21:52,Open,341,588,
27/01/2022-21:57,Open,345,588,
27/01/2022-22:02,Open,345,588,
27/01/2022-22:07,Open,344,588,
27/01/2022-22:12,Open,347,588,
27/01/2022-22:17,Open,347,588,
27/01/2022-22:22,Open,348,588,
27/01/2022-22:27,Open,350,588,
27/01/2022-22:32,Open,350,588,
27/01/2022-22:37,Open,350,588,
27/01/2022-22:42,Open,349,588,
27/01/2022-22:47,Open,354,588,
27/01/2022-22:52,Open,360,588,
27/01/2022-22:57,Open,360,588,
27/01/2022-23:02,Open,361,588,
27/01/2022-23:07,Open,366,588,
27/01/2022-23:12,Open,366,588,
27/01/2022-23:17,Open,369,588,
27/01/2022-23:22,Open,370,588,
27/01/2022-23:27,Open,377,588,
27/01/2022-23:32,Open,380,588,
27/01/2022-23:37,Open,382,588,
27/01/2022-23:42,Open,382,588,
27/01/2022-23:47,Open,382,588,
27/01/2022-23:52,Open,384,588,
27/01/2022-23:57,Open,385,588,
28/01/2022-00:02,Open,387,588,
28/01/2022-00:07,Open,387,588,
28/01/2022-00:12,Open,388,588,
28/01/2022-00:17,Open,390,588,
28/01/2022-00:22,Open,392,588,
28/01/2022-00:27,Open,393,588,
28/01/2022-00:32,Open,396,588,
28/01/2022-00:37,Open,398,588,
28/01/2022-00:42,Open,400,588,
28/01/2022-00:47,Open,403,588,
28/01/2022-00:52,Open,405,588,
28/01/2022-00:57,Open,405,588,
28/01/2022-01:02,Open,405,588,
28/01/2022-01:07,Open,405,588,
28/01/2022-01:12,Open,405,588,
28/01/2022-01:17,Open,405,588,
28/01/2022-01:22,Open,405,588,
28/01/2022-01:27,Open,406,588,
28/01/2022-01:32,Open,406,588,
28/01/2022-01:37,Open,406,588,
28/01/2022-01:42,Open,406,588,
28/01/2022-01:47,Open,406,588,
28/01/2022-01:52,Open,406,588,
28/01/2022-01:57,Open,406,588,
28/01/2022-02:02,Open,406,588,
28/01/2022-02:07,Open,406,588,
28/01/2022-02:12,Open,406,588,
28/01/2022-02:17,Open,406,588,
28/01/2022-02:22,Open,406,588,
28/01/2022-02:27,Open,406,588,
28/01/2022-02:32,Open,406,588,
28/01/2022-02:37,Open,406,588,
28/01/2022-02:42,Open,406,588,
28/01/2022-02:47,Open,406,588,
28/01/2022-02:52,Open,406,588,
28/01/2022-02:57,Open,406,588,
28/01/2022-03:02,Open,406,588,
28/01/2022-03:07,Open,406,588,
28/01/2022-03:12,Open,406,588,
28/01/2022-03:17,Open,406,588,
28/01/2022-03:22,Open,406,588,
28/01/2022-03:27,Open,406,588,
28/01/2022-03:32,Open,406,588,
28/01/2022-03:37,Open,406,588,
28/01/2022-03:42,Open,406,588,
28/01/2022-03:47,Open,406,588,
28/01/2022-03:52,Open,405,588,
28/01/2022-03:57,Open,405,588,
28/01/2022-04:02,Open,405,588,
28/01/2022-04:07,Open,405,588,
28/01/2022-04:12,Open,405,588,
28/01/2022-04:17,Open,405,588,
28/01/2022-04:22,Open,405,588,
28/01/2022-04:27,Open,405,588,
28/01/2022-04:32,Open,405,588,
28/01/2022-04:37,Open,405,588,
28/01/2022-04:42,Open,405,588,
28/01/2022-04:47,Open,405,588,
28/01/2022-04:52,Open,405,588,
28/01/2022-04:57,Open,405,588,
28/01/2022-05:02,Open,405,588,
